,A_index,C_flare,K_index,N_PAIRS,N_STATIONS,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,new_regions,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area,bucket_grad,bucket_grad_mean,k_index_bucket,elev_min_bucket,elev_mean_bucket,elev_max_bucket,grad_elev,BIN_LABEL,LABEL,prn,network,STATIONS,PAIRS,ID,YEAR,DAY,TIME
54,2,7,0,2,3,5.01118748436,17.4891473779,61.5645699465,342.698841288,8.76766474369,-1.20437192725,28.7187291891,32.0066770485,-1.19672577765,4.89748254805,0.00709545282179,-20.5360879381,2.41901858832,2,130,57.1196335605,3.10892199726,114,500,3,1,0,0,1,3,31,0.0,3.0,GPS 13,regme,"'quem', 'cxec', 'epec'","'cxecquem', 'epeccxec'",50,2014,18,41490
55,2,7,2,2,4,-0.734487942743,38.9715651873,37.2788834389,238.507802855,17.2124840743,2.77662215179,28.7175556815,58.6787997023,2.79612261718,7.39460416325,0.00629086482788,-3.27839499635,0.640188207847,2,130,32.674499913,3.87684445198,114,500,3,2,2,0,1,2,31,0.0,3.0,GPS 20,regme,"'clec', 'ljec', 'quem', 'epec'","'epecquem', 'clecljec'",51,2014,18,6960
56,2,7,1,2,4,1.3384573281,18.1206138597,87.9289032319,379.049680037,46.3047990471,10.9665949417,44.3549624334,29.260430999,11.0243863943,5.78857118146,3.66906037243,-6.40111765762,2.07337910191,2,130,48.8182537141,5.52560184045,114,500,3,1,1,0,2,3,32,0.0,3.0,GPS 21,regme,"'clec', 'ljec', 'ecec', 'qvec'","'ececqvec', 'clecljec'",52,2014,18,82080
57,2,7,0,2,3,-0.786610011166,15.190987343,68.2133151145,110.265062354,14.6970590309,5.49185438225,32.1076030957,7.42795741205,5.65444769294,5.14829003689,0.00240361009513,-1.10966135616,0.973604409344,2,130,18.2187460379,4.10873445289,114,500,2,1,0,0,2,3,22,0.0,3.0,GPS 26,regme,"'ibec', 'cxec', 'epec'","'epecibec', 'epeccxec'",53,2014,18,32790
58,2,7,1,2,4,13.8678397223,26.8438076035,66.4409489305,896.625621164,58.1943559295,-0.00291753709313,33.225020531,37.8033191812,-0.119477619964,5.89736130216,0.666604062066,-20.0948095392,4.26151186467,2,130,119.517427997,6.27756198738,114,500,4,1,1,0,2,3,42,0.0,3.0,GPS 28,regme,"'njec', 'gyec', 'cxec', 'epec'","'njecgyec', 'epeccxec'",54,2014,18,16140
59,2,7,1,2,3,5.90430839366,9.19480092084,66.1699009125,554.101023811,42.7742877748,0.129980876323,35.2808874159,39.0647105983,-0.22441958677,6.14208221814,0.0149707881868,-20.0948095392,4.41513406055,2,130,106.520642849,6.9402014057,114,500,4,1,1,0,2,3,42,0.0,3.0,GPS 28,regme,"'erec', 'cxec', 'qvec'","'cxecqvec', 'cxecerec'",55,2014,18,19440
61,2,7,0,2,4,1.94277024085,19.0805799519,69.23330748,498.264330722,61.1422565833,5.39091588748,35.4094591054,23.7829295675,5.68883846724,2.29414666854,0.853567188718,-2.79425101231,2.7660752452,2,130,69.1160731336,7.72202034863,114,500,3,1,0,0,2,3,32,0.0,3.0,GPS 5,regme,"'njec', 'qvec', 'gyec', 'cxec'","'njecgyec', 'cxecqvec'",57,2014,18,61560
62,2,7,0,4,5,-0.626038288561,9.4380255636,36.3512270862,176.056852688,24.5137786738,16.8052167681,16.7826744064,21.5409000867,16.4457384827,4.18852808572,0.328525846721,8.38313422013,1.77355152822,2,130,26.7837411832,2.92272465173,114,500,2,1,0,0,1,2,21,0.0,3.0,GPS 6,regme,"'ibec', 'qvec', 'cxec', 'tnec', 'epec'","'epecibec', 'cxecqvec', 'epeccxec', 'cxectnec'",58,2014,18,74520
63,2,2,2,4,5,3.89231516064,17.2185395454,66.2131569828,124.297608296,27.6332536936,13.0343873117,34.2006101518,9.66007072452,12.9333095425,5.57866269712,0.00126635496694,8.38299354046,1.0777862218,0,128,19.2643988981,3.41396110261,91,530,2,1,2,0,2,3,22,0.0,3.0,GPS 1,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",59,2014,19,3060
64,2,2,2,3,4,2.5265608353,33.1488020858,71.1767647673,1227.9903747,16.7535573453,2.02037638671,36.7157334648,118.683683432,1.90553622422,5.04349285395,0.00556383027555,-5.63344416306,1.5109462691,0,128,64.9172860201,3.61884712852,91,530,5,2,2,0,2,3,52,0.0,3.0,GPS 11,regme,"'ibec', 'quem', 'cxec', 'epec'","'epecibec', 'epecquem', 'epeccxec'",60,2014,19,450
